id;name;class_type;date
1;experiences Netherlands Antilles Internal;SPECIAL;2020-08-02T22:54:50
2;Cliffs;NORMAL;2020-08-03T04:56:53
3;Buckinghamshire system engine Gloves;NORMAL;2020-08-03T19:23:32
4;technologies;SPECIAL;2020-08-03T04:28:05
5;navigating;NORMAL;2020-08-03T18:44:13
6;transform input supply-chains;NORMAL;2020-08-03T10:50:22
7;Borders;NORMAL;2020-08-02T23:02:26
8;Rwanda Franc Executive Checking Account;NORMAL;2020-08-03T20:07:31
9;Handcrafted Frozen Hat;NORMAL;2020-08-03T20:19:20
10;Intranet;SPECIAL;2020-08-03T14:34:46
